take_capital_lategame_setup;Demand that $RECIPIENT$ cede its capital.;;;;;;;;;;;x
acquire_state_tiny;Acquire Tiny State;;;;;;;;;;;x
acquire_state_tiny_short;Acquire Tiny State $STATE$.;;;;;;;;;;;x
acquire_state_tiny_desc;Aquire an enemy 即tiny state劬.;;;;;;;;;;;x
acquire_state_tiny_setup;Demand that $RECIPIENT$ cede its tiny state.;;;;;;;;;;;x
acquire_state_small;Acquire Small State;;;;;;;;;;;x
acquire_state_small_short;Acquire Small State $STATE$.;;;;;;;;;;;x
acquire_state_small_desc;Aquire an enemy 即small state劬.;;;;;;;;;;;x
acquire_state_small_setup;Demand that $RECIPIENT$ cede its small state.;;;;;;;;;;;x
acquire_state_small_americas;Acquire Small State;;;;;;;;;;;x
acquire_state_small_americas_short;Acquire Small State $STATE$.;;;;;;;;;;;x
acquire_state_small_americas_desc;Aquire an enemy 即small state劬.;;;;;;;;;;;x
acquire_state_small_americas_setup;Demand that $RECIPIENT$ cede its small state.;;;;;;;;;;;x
acquire_state_medium;Acquire Medium State;;;;;;;;;;;x
acquire_state_medium_short;Acquire Medium State $STATE$.;;;;;;;;;;;x
acquire_state_medium_desc;Aquire an enemy 即medium state劬.;;;;;;;;;;;x
acquire_state_medium_setup;Demand that $RECIPIENT$ cede its medium state.;;;;;;;;;;;x
acquire_state_large;Acquire Large State;;;;;;;;;;;x
acquire_state_large_short;Acquire Large State $STATE$.;;;;;;;;;;;x
acquire_state_large_desc;Aquire an enemy 即large state劬.;;;;;;;;;;;x
acquire_state_large_setup;Demand that $RECIPIENT$ cede its large state.;;;;;;;;;;;x
acquire_state_huge;Acquire Huge State;;;;;;;;;;;x
acquire_state_huge_short;Acquire Huge State $STATE$.;;;;;;;;;;;x
acquire_state_huge_desc;Aquire an enemy 即huge state劬.;;;;;;;;;;;x
acquire_state_huge_setup;Demand that $RECIPIENT$ cede its huge state.;;;;;;;;;;;x
demand_concession_casus_belli_tiny;Tiny State Concession;;;;;;;;;;;x
demand_concession_casus_belli_tiny_short;Demand Tiny State $STATE$.;;;;;;;;;;;x
demand_concession_casus_belli_tiny_desc;Demand a 即tiny state劬 concession.;;;;;;;;;;;x
demand_concession_casus_belli_tiny_setup;Demand that $RECIPIENT$ cede its tiny state.;;;;;;;;;;;x
demand_concession_casus_belli_small;Small State Concession;;;;;;;;;;;x
demand_concession_casus_belli_small_short;Demand Small State $STATE$.;;;;;;;;;;;x
demand_concession_casus_belli_small_desc;Demand a 即small state劬 concession.;;;;;;;;;;;x
demand_concession_casus_belli_small_setup;Demand that $RECIPIENT$ cede its small state.;;;;;;;;;;;x
demand_concession_casus_belli_small_exception;Small State Concession;;;;;;;;;;;x
demand_concession_casus_belli_small_exception_short;Demand Small State $STATE$.;;;;;;;;;;;x
demand_concession_casus_belli_small_exception_desc;Demand a 即small state劬 concession.;;;;;;;;;;;x
demand_concession_casus_belli_small_exception_setup;Demand that $RECIPIENT$ cede its small state.;;;;;;;;;;;x
demand_concession_casus_belli_medium;Medium State Concession;;;;;;;;;;;x
demand_concession_casus_belli_medium_short;Demand Medium State $STATE$.;;;;;;;;;;;x
demand_concession_casus_belli_medium_desc;Demand a 即medium state劬 concession.;;;;;;;;;;;x
demand_concession_casus_belli_medium_setup;Demand that $RECIPIENT$ cede its medium state.;;;;;;;;;;;x
demand_concession_casus_belli_medium_exception;Medium State Concession;;;;;;;;;;;x
demand_concession_casus_belli_medium_exception_short;Demand Medium State $STATE$.;;;;;;;;;;;x
demand_concession_casus_belli_medium_exception_desc;Demand a 即medium state劬 concession.;;;;;;;;;;;x
demand_concession_casus_belli_medium_exception_setup;Demand that $RECIPIENT$ cede its medium state.;;;;;;;;;;;x
demand_concession_casus_belli_large;Large State Concession;;;;;;;;;;;x
demand_concession_casus_belli_large_short;Demand Large State $STATE$.;;;;;;;;;;;x
demand_concession_casus_belli_large_desc;Demand a 即large state劬 concession.;;;;;;;;;;;x
demand_concession_casus_belli_large_setup;Demand that $RECIPIENT$ cede its large state.;;;;;;;;;;;x
demand_concession_casus_belli_large_exception;Large State Concession;;;;;;;;;;;x
demand_concession_casus_belli_large_exception_short;Demand Large State $STATE$.;;;;;;;;;;;x
demand_concession_casus_belli_large_exception_desc;Demand a 即large state劬 concession.;;;;;;;;;;;x
demand_concession_casus_belli_large_exception_setup;Demand that $RECIPIENT$ cede its large state.;;;;;;;;;;;x
demand_concession_casus_belli_huge;Huge State Concession;;;;;;;;;;;x
demand_concession_casus_belli_huge_short;Demand Huge State $STATE$.;;;;;;;;;;;x
demand_concession_casus_belli_huge_desc;Demand a 即huge state劬 concession.;;;;;;;;;;;x
demand_concession_casus_belli_huge_setup;Demand that $RECIPIENT$ cede its huge state.;;;;;;;;;;;x
demand_concession_casus_belli_huge_exception;Huge State Concession;;;;;;;;;;;x
demand_concession_casus_belli_huge_exception_short;Demand Huge State $STATE$.;;;;;;;;;;;x
demand_concession_casus_belli_huge_exception_desc;Demand a 即huge state劬 concession.;;;;;;;;;;;x
demand_concession_casus_belli_huge_exception_setup;Demand that $RECIPIENT$ cede its huge state.;;;;;;;;;;;x
place_in_the_sun_tiny;Tiny Place in the Sun;;;;;;;;;;;x
place_in_the_sun_tiny_short;Acquire Tiny State $STATE$.;;;;;;;;;;;x
place_in_the_sun_tiny_desc;Demand a 即tiny state劬 colony.;;;;;;;;;;;x
place_in_the_sun_tiny_setup;Acquire Tiny State $STATE$ from $RECIPIENT$.;;;;;;;;;;;x
place_in_the_sun_small;Small Place in the Sun;;;;;;;;;;;x
place_in_the_sun_small_short;Acquire Small State $STATE$.;;;;;;;;;;;x
place_in_the_sun_small_desc;Demand a 即small state劬 colony.;;;;;;;;;;;x
place_in_the_sun_small_setup;Acquire Small State $STATE$ from $RECIPIENT$.;;;;;;;;;;;x
place_in_the_sun_medium;Medium Place in the Sun;;;;;;;;;;;x
place_in_the_sun_medium_short;Acquire Medium State $STATE$.;;;;;;;;;;;x
place_in_the_sun_medium_desc;Demand a 即medium state劬 colony.;;;;;;;;;;;x
place_in_the_sun_medium_setup;Acquire Medium State $STATE$ from $RECIPIENT$.;;;;;;;;;;;x
place_in_the_sun_large;Large Place in the Sun;;;;;;;;;;;x
place_in_the_sun_large_short;Acquire Large State $STATE$.;;;;;;;;;;;x
place_in_the_sun_large_desc;Demand a 即large state劬 colony.;;;;;;;;;;;x
place_in_the_sun_large_setup;Acquire Large State $STATE$ from $RECIPIENT$.;;;;;;;;;;;x
place_in_the_sun_huge;Huge Place in the Sun;;;;;;;;;;;x
place_in_the_sun_huge_short;Acquire Huge State $STATE$.;;;;;;;;;;;x
place_in_the_sun_huge_desc;Demand a 即huge state劬 colony.;;;;;;;;;;;x
place_in_the_sun_huge_setup;Acquire Huge State $STATE$ from $RECIPIENT$.;;;;;;;;;;;x
free_peoples_tiny;Free People Tiny State;;;;;;;;;;;x
free_peoples_tiny_short;$THIRD$ acquires $STATE$.;;;;;;;;;;;x
free_peoples_tiny_desc;Liberate a 即country劬's state from its oppressors.;;;;;;;;;;;x
free_peoples_tiny_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$.;;;;;;;;;;;x
free_peoples_small;Free People Small State;;;;;;;;;;;x
free_peoples_small_short;$THIRD$ acquires $STATE$.;;;;;;;;;;;x
free_peoples_small_desc;Liberate a 即country劬's state from its oppressors.;;;;;;;;;;;x
free_peoples_small_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$.;;;;;;;;;;;x
free_peoples_medium;Free People Medium State;;;;;;;;;;;x
free_peoples_medium_short;$THIRD$ acquires $STATE$.;;;;;;;;;;;x
free_peoples_medium_desc;Liberate a 即country劬's state from its oppressors.;;;;;;;;;;;x
free_peoples_medium_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$.;;;;;;;;;;;x
free_peoples_large;Free People Large State;;;;;;;;;;;x
free_peoples_large_short;$THIRD$ acquires $STATE$.;;;;;;;;;;;x
free_peoples_large_desc;Liberate a 即country劬's state from its oppressors.;;;;;;;;;;;x
free_peoples_large_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$.;;;;;;;;;;;x
free_peoples_huge;Free People Huge State;;;;;;;;;;;x
free_peoples_huge_short;$THIRD$ acquires $STATE$.;;;;;;;;;;;x
free_peoples_huge_desc;Liberate a 即country劬's state from its oppressors.;;;;;;;;;;;x
free_peoples_huge_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$.;;;;;;;;;;;x
